# 1. 笑脸与情感 (Smileys & Emotion)
😀 | 咧嘴笑 | Grinning Face
😃 | 大笑 | Grinning Face with Big Eyes
😄 | 微笑眼大笑 | Grinning Face with Smiling Eyes
😁 | 笑嘻嘻 | Beaming Face with Smiling Eyes
😆 | 眯眼笑 | Grinning Squinting Face
😅 | 流汗笑 | Grinning Face with Sweat
🤣 | 笑到打滚 | Rolling on the Floor Laughing
😂 | 笑哭 | Face with Tears of Joy
🙂 | 淡淡微笑 | Slightly Smiling Face
🙃 | 倒脸笑 | Upside-Down Face
😉 | 眨眼 | Winking Face
😊 | 温柔笑 | Smiling Face with Smiling Eyes
😇 | 天使笑 | Smiling Face with Halo
🥰 | 爱心环绕 | Smiling Face with Hearts
😍 | 花痴爱心眼 | Smiling Face with Heart-Eyes
🤩 | 星星眼 | Star-Struck
😘 | 飞吻 | Face Blowing a Kiss
😗 | 亲亲 | Kissing Face
😙 | 亲亲笑眼 | Kissing Face with Smiling Eyes
😚 | 紧闭眼亲亲 | Kissing Face with Closed Eyes
😜 | 吐舌眨眼 | Winking Face with Tongue
😝 | 眯眼吐舌 | Squinting Face with Tongue
😛 | 吐舌 | Face with Tongue
🤑 | 钱眼笑 | Money-Mouth Face
🤗 | 抱抱 | Smiling Face with Open Hands
🤭 | 偷笑 | Face with Hand Over Mouth
🫢 | 捂嘴惊讶 | Face with Open Eyes and Hand Over Mouth
🫣 | 偷看 | Peeking Eye
🤫 | 嘘安静 | Shushing Face
🤔 | 思考 | Thinking Face
🫡 | 敬礼 | Saluting Face
🤐 | 闭嘴 | Zipper-Mouth Face
🤨 | 挑眉怀疑 | Face with Raised Eyebrow
😐 | 面无表情 | Neutral Face
😑 | 无语 | Expressionless Face
😶 | 沉默 | Face Without Mouth
🫥 | 隐身脸 | Dotted Line Face
😏 | 坏笑 | Smirking Face
😒 | 不爽 | Unamused Face
🙄 | 翻白眼 | Face with Rolling Eyes
😬 | 尴尬龇牙 | Grimacing Face
🤥 | 说谎 | Lying Face
😌 | 放松欣慰 | Relieved Face
😔 | 难过 | Pensive Face
😪 | 困倦 | Tired Face
🤤 | 流口水 | Drooling Face
😋 | 馋嘴 | Face Savoring Food
😛 | 吐舌 | Face with Tongue
😜 | 眨眼吐舌 | Winking Face with Tongue
😝 | 调皮吐舌 | Squinting Face with Tongue
🤑 | 见钱眼开 | Money-Mouth Face
🤗 | 拥抱 | Smiling Face with Open Hands
🤭 | 偷笑 | Face with Hand Over Mouth
🤫 | 嘘 | Shushing Face
🤔 | 思考 | Thinking Face
🫡 | 敬礼 | Saluting Face
😶‍🌫️ | 雾脸 | Face in Clouds
😷 | 口罩 | Face with Medical Mask
🤒 | 发烧 | Face with Thermometer
🤕 | 受伤 | Face with Head-Bandage
🤢 | 恶心 | Nauseated Face
🤮 | 呕吐 | Face Vomiting
🤧 | 打喷嚏 | Sneezing Face
🥵 | 热晕 | Hot Face
🥶 | 冷僵 | Cold Face
🥴 | 晕乎乎 | Woozy Face
😵 | 晕圈 | Dizzy Face
😵‍💫 | 晕头转向 | Face with Spiral Eyes
🤯 | 爆炸头 | Exploding Head
🤠 | 牛仔帽 | Cowboy Hat Face
🥳 | 派对庆祝 | Face with Party Horn and Hat
🥸 | 伪装 | Disguised Face
😎 | 墨镜酷 | Smiling Face with Sunglasses
🤓 | 书呆子 | Nerd Face
🧐 | 侦探脸 | Face with Monocle
😕 | 困惑 | Confused Face
🫤 | 茫然 | Face with Diagonal Mouth
😟 | 担忧 | Worried Face
🙁 | 轻微难过 | Slightly Frowning Face
😮 | 惊讶张嘴 | Face with Open Mouth
😯 | hushed 安静惊讶 | Hushed Face
😲 | 震惊 | Astonished Face
😳 | 脸红 | Flushed Face
🥺 | 恳求 | Pleading Face
😦 | 难过张嘴 | Frowning Face with Open Mouth
😧 | 痛苦 | Anguished Face
😨 | 害怕 | Fearful Face
😰 | 冷汗 | Anxious Face with Sweat
😥 | 难过流汗 | Sad but Relieved Face
😢 | 流泪 | Crying Face
😭 | 大哭 | Loudly Crying Face
😱 | 吓死 | Face Screaming in Fear
😖 | 苦恼 | Confounded Face
😣 | 痛苦 | Persevering Face
😞 | 失望 | Disappointed Face
😓 | 无奈 | Downcast Face with Sweat
😩 | 累瘫 | Weary Face
😫 | 痛苦 | Tired Face
🥱 | 打哈欠 | Yawning Face
😔 | 忧郁 | Pensive Face
😕 | 困惑 | Confused Face
😟 | 担心 | Worried Face
🙁 | 不开心 | Slightly Frowning Face
☹️ | 难过 | Frowning Face
🙁 | 轻微皱眉 | Slightly Frowning Face
😮‍💨 | 叹气 | Face Exhaling
😤 | 鼻孔生气 | Face with Steam from Nose
😠 | 生气 | Angry Face
😡 | 暴怒 | Pouting Face
🤬 | 脏话骂人 | Face with Symbols on Mouth
🤯 | 头炸 | Exploding Head
😈 | 恶魔笑 | Smiling Face with Horns
👿 | 愤怒恶魔 | Angry Face with Horns
💀 | 骷髅 | Skull
💩 | 便便 | Pile of Poo
🤡 | 小丑 | Clown Face
👹 | 鬼怪 | Ogre
👺 | 天狗 | Goblin
👻 | 幽灵 | Ghost
👽 | 外星人 | Alien
👾 | 外星怪物 | Alien Monster
🤖 | 机器人 | Robot
😺 | 微笑猫 | Grinning Cat
😸 | 开心猫 | Grinning Cat with Smiling Eyes
😹 | 笑哭猫 | Cat with Tears of Joy
😻 | 爱心眼猫 | Smiling Cat with Heart-Eyes
😼 | 坏笑猫 | Cat with Wry Smile
😽 | 亲亲猫 | Kissing Cat
🙀 | 惊吓猫 | Weary Cat
😿 | 难过猫 | Crying Cat
😾 | 生气猫 | Pouting Cat
💋 | 唇印 | Kiss Mark
🩸 | 血滴 | Drop of Blood

---

# 2. 人物与身体 (People & Body)
👋 | 挥手 | Waving Hand
🤚 | 手背 | Raised Back of Hand
🖐️ | 张开手掌 | Hand with Fingers Splayed
🫱 | 右手 | Right Hand
🫲 | 左手 | Left Hand
🫳 | 手掌向下 | Hand Palm Down
🫴 | 手掌向上 | Hand Palm Up
🫷 | 推左手 | Left-Pushing Hand
🫸 | 推右手 | Right-Pushing Hand
✋ | 停止 | Raised Hand
🖖 | 瓦肯举手 | Vulcan Salute
🫰 | 手比心 | Hand with Index Finger and Thumb Crossed
🤞 | 许愿交叉手指 | Crossed Fingers
🫱🏻‍🫲🏿 | 握手牵手 | Handshake
🤟 | 爱你手势 | Love-You Gesture
🤘 | 金属礼 | Sign of the Horns
🤙 | 召唤手 | Call Me Hand
👌 | OK | OK Hand
🤌 | 捏手指 | Pinched Fingers
🤏 | 一点点 | Pinching Hand
✌️ | 胜利/耶 | Victory Hand
🫘 | 摊手 | Shrugging Hand（系统统一归类）
🤞 | 交叉手指 | Crossed Fingers
🤟 | 爱你 | Love-You Gesture
🤘 | 摇滚手 | Sign of the Horns
🤙 | 六/哈喽 | Call Me Hand
👌 | OK | OK Hand
🫰 | 比心 | Hand with Index Finger and Thumb Crossed
🤌 | 捏手指 | Pinched Fingers
🤏 | 微量 | Pinching Hand
✌️ | 耶 | Victory Hand
🫶 | 双手爱心 | Heart Hands
👈 | 右指 | Backhand Index Pointing Right
👉 | 左指 | Backhand Index Pointing Left
👆 | 上指 | Backhand Index Pointing Up
🫵 | 指你 | Index Pointing at the Viewer
👇 | 下指 | Backhand Index Pointing Down
☝️ | 食指上 | Index Pointing Up
👍 | 赞 | Thumbs Up
👎 | 踩 | Thumbs Down
